ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
ABAGIV,150.4,1.2959,294.9,4281,6.6,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-]
ABENAX,-528.8,1.6917,263.4,6554,18.7,COC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ABENUQ,-616.1,1.5644,304.7,5986,14.8,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-]
ACALAR,-99.5,1.4391,287.7,4427,7.7,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
ACALEV,-186.9,1.3111,288.2,4021,5.9,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1c(C)cccc1C
ACALIZ,-241.9,1.2395,288.4,3752,4.9,CCc1cccc(c1NC(=O)c1ccc(cc1)[N+](=O)[O-])CC
ACALUL,-250.2,1.3151,301.4,3876,5.5,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-]
ACANOH,-201.8,1.4477,147.4,5570,12.2,O=C(c1ccncc1)NCCO[N+](=O)[O-]
ACEMUR,-28.3,1.5967,296.1,5725,13.7,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)[N+](=O)[O-]
ACENIH,-738.1,1.5864,180.5,7014,20.6,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C
ACERIK,228.9,1.5033,274.3,5446,12,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1[N+](=O)[O-]
ACIDAR,162.2,1.4789,304.5,4609,8.5,[O-][N+](=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2
ACISAI01,299.1,1.5065,317,5598,12.6,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-]
ACOWIY,54.7,1.6435,170.1,8011,27.4,[O-][N+](=O)C1(CNC1)[N+](=O)[O-]
ACOWOE,-109.5,1.6778,168.9,7689,25.6,O=CN1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ACOWUK,-78,1.7324,169.3,7960,28,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ADAVIL,25.2,1.3066,272.9,4213,6.5,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1[N+](=O)[O-]
ADEWEM,193.8,1.549,242.8,5889,14.3,C/C(=N\Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
ADIDUN,28.5,1.4203,290.4,4823,9,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C
ADOLEK,3.2,1.3936,299.3,5313,10.8,[O-][N+](=O)c1cc(ccc1NN=C1CCCCCCC1)[N+](=O)[O-]
ADOMAK,-99.8,1.4204,301.2,4249,7,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1
AFAZUD,-63.8,1.4606,266.8,5943,14,[O-][N+](=O)[C@]12C[C@@H]3[C@](C1)(C[C@H]2C3)[N+](=O)[O-]
AFEXEP,-233.6,1.3835,298.5,4795,8.7,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-]
AFONOA,212.2,1.4217,307,4842,9.1,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-]
AFOPUI,-98.6,1.4698,269.7,5097,10.3,Oc1ccc(cc1/C=N/c1cccc(c1C)[N+](=O)[O-])[N+](=O)[O-]
AFOVUP,1,1.3511,312,5023,9.4,CN(c1ccc(cc1)[N+](=O)[O-])C
AGAXUD,94.1,1.3499,293.5,4337,7,[O-][N+](=O)c1ccc(cc1)Cc1ccncc1
