ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
CL20,C6H6N12O12,2.04,-10.95833343,438.02281,357.3305,2.0363,311.74136,158.22156,153.5198,6.89678,21.45209,-8.1043,227.29452,210.74783,16.54669,0.06749884,15.34212,15.58159,14.87885,145.82,165.92,0.7812,147.9469534,0.974238713
FOX-7,C2H4N4O4,1.878,-21.61822552,148.02325,140.52589,1.7498,149.69862,76.57345,73.12517,1.89701,24.86657,-22.15569,422.77558,319.75638,103.0192,0.18429672,77.91615,23.52395,23.54235,31.27,118.43,0.8732,98.33889493,3.230377008
HMX,C4H8N8O8,1.905,-21.61822479,296.04651,268.42557,1.8321,245.79367,125.85919,119.93449,6.17782,23.63999,-12.14698,205.64016,168.75408,36.88609,0.14719769,30.26976,18.31957,18.032,69.96,175.83,0.8187,117.8286831,0.000309217
LLM-105,C4H4N6O5,1.847732114,-37.03286741,216.02432,196.47547,1.8265,196.46748,108.70682,87.76066,3.20604,19.44359,-16.90698,187.32838,109.74695,77.58142,0.24262921,45.45134,18.07034,18.3105,41.65,154.81,0.8319,102.0267012,2.125603612
NTO,C2H2N4O3,1.797287927,-24.61298201,130.01269,121.23083,1.7815,135.73529,70.01628,65.71901,3.77158,21.66582,-15.29274,250.37417,193.69388,56.68029,0.17513337,43.84887,18.61063,18.58016,31.51,104.22,0.8727,78.67148956,0.612493818
RDX,C3H6N6O6,1.806,-21.61822503,222.03488,205.21462,1.7973,201.29556,102.47645,98.81911,4.39103,21.33691,-13.18201,192.09307,155.66123,36.43184,0.15368738,29.52228,17.46479,17.33354,53.47,147.82,0.8358,95.14276729,2.221354952
ske_55_10_14,C4H4N6O2,1.753841705,-76.17253484,168.03957,166.13105,1.6804,174.21202,90.55686,83.65515,2.01053,19.79153,-17.23744,356.82294,253.20748,103.61546,0.20606088,73.52725,18.55849,18.56507,62.17,112.04,0.8389,105.4644083,2.359903546
ske_55_10_20,C4HN7O6,1.91842924,-16.46098461,242.99883,209.88323,1.9233,211.96846,106.87616,105.09229,5.04428,21.58759,-11.77984,226.49735,189.59232,36.90503,0.13638922,30.8918,17.02263,16.72498,67.56,144.41,0.8057,100.9275681,1.124150115
ske_55_10_22,C4H3N7O4,1.813364829,-41.30977331,213.02465,195.50054,1.8101,198.1802,105.48783,92.69237,3.25352,17.53397,-12.99824,179.37013,126.57336,52.79677,0.20770619,37.25629,15.35921,15.41253,63.3,134.88,0.822,98.37902906,1.685578014
ske_55_10_24,C4H3N7O4,1.868241888,-41.30977331,213.02465,195.76185,1.8077,199.45072,96.13105,103.31966,2.23463,24.68935,-18.65777,442.19149,363.66111,78.53037,0.14605411,64.58388,21.70728,21.56487,47.74,151.71,0.8175,112.2794674,3.59599547
