FILENAME,SMILES
./ske_56_8_1.mol,O=[N+]([O-])c1cc2ncnnn2n1
./ske_56_8_2.mol,O=[N+]([O-])c1cnn2nncnc12
./ske_56_8_3.mol,O=[N+]([O-])c1nnn2nccc2n1
./ske_56_8_4.mol,Nc1cc2ncnnn2n1
./ske_56_8_5.mol,Nc1cnn2nncnc12
./ske_56_8_6.mol,Nc1nnn2nccc2n1
./ske_56_8_7.mol,O=[N+]([O-])c1nn2nncnc2c1[N+](=O)[O-]
./ske_56_8_8.mol,O=[N+]([O-])c1cc2nc([N+](=O)[O-])nnn2n1
./ske_56_8_9.mol,O=[N+]([O-])c1nnn2ncc([N+](=O)[O-])c2n1
./ske_56_8_10.mol,Nc1c([N+](=O)[O-])nn2nncnc12
./ske_56_8_11.mol,Nc1nnn2nc([N+](=O)[O-])cc2n1
./ske_56_8_12.mol,Nc1nn2nncnc2c1[N+](=O)[O-]
./ske_56_8_13.mol,Nc1nnn2ncc([N+](=O)[O-])c2n1
./ske_56_8_14.mol,Nc1cc2nc([N+](=O)[O-])nnn2n1
./ske_56_8_15.mol,Nc1cnn2nnc([N+](=O)[O-])nc12
./ske_56_8_16.mol,Nc1nn2nncnc2c1N
./ske_56_8_17.mol,Nc1cc2nc(N)nnn2n1
./ske_56_8_18.mol,Nc1nnn2ncc(N)c2n1
./ske_56_8_19.mol,O=[N+]([O-])c1nnn2nc([N+](=O)[O-])c([N+](=O)[O-])c2n1
./ske_56_8_20.mol,Nc1nnn2nc([N+](=O)[O-])c([N+](=O)[O-])c2n1
./ske_56_8_21.mol,Nc1c([N+](=O)[O-])nn2nnc([N+](=O)[O-])nc12
./ske_56_8_22.mol,Nc1nn2nnc([N+](=O)[O-])nc2c1[N+](=O)[O-]
./ske_56_8_23.mol,Nc1nnn2nc([N+](=O)[O-])c(N)c2n1
./ske_56_8_24.mol,Nc1nnn2nc(N)c([N+](=O)[O-])c2n1
./ske_56_8_25.mol,Nc1nn2nnc([N+](=O)[O-])nc2c1N
./ske_56_8_26.mol,Nc1nnn2nc(N)c(N)c2n1
